Interessado,UF,Tipo_de_interessado,Tipo_de_operação,Finalidade,Tipo_de_credor,Credor,Moeda,Valor,Número_do_Processo/PVL,Código_IBGE,Status,Data,Analisado_por,Regiao
Bonfinópolis de Minas,MG,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,1200000.0,17944.001161/2013-96,3108206.0,Deferido,2013-11-01,STN,Sudeste
Bonfinópolis de Minas,MG,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1000000.0,17944.001907/2014-42,3108206.0,Deferido,2015-01-05,STN,Sudeste
Bonfinópolis de Minas,MG,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,550000.0,17944.001146/2015-18,3108206.0,Deferido,2016-01-08,STN,Sudeste
Bonfinópolis de Minas,MG,Município,Operação Contratual Interna,Saneamento básico,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,250000.0,17944.001144/2015-11,3108206.0,Deferido,2016-01-08,STN,Sudeste
Bonito,MS,Município,Operação Contratual Interna,Caminho da Escola,Instituição Financeira Nacional,Banco do Brasil S/A,Real,533400.0,17944.000083/2008-45,5002209.0,Deferido,2008-02-29,STN,Centro-Oeste
Bonito de Minas,MG,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,1500000.0,17944.001880/2013-15,3108255.0,Deferido,2014-01-27,STN,Sudeste
Boqueirão,PB,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco do Brasil S/A,Real,1200000.0,17944.002001/2011-01,2502508.0,Deferido,2012-05-18,STN,Nordeste
Boqueirão do Leão,RS,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco do Brasil S/A,Real,720000.0,19406.000168/2009-27,4302451.0,Deferido,2011-02-11,STN,Sul
Boqueirão do Leão,RS,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,BADESUL Desenvolvimento S.A. - Agência de Fomento/RS,Real,250000.0,19406.000265/2007-58,4302451.0,Deferido,2007-10-16,STN,Sul
Boquira,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,1300000.0,17944.000934/2012-36,2904100.0,Deferido,2012-07-06,STN,Nordeste
Boquira,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,2000000.0,17944.000499/2016-73,2904100.0,Deferido,2016-05-06,STN,Nordeste
Borda da Mata,MG,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco do Brasil S/A,Real,400000.0,17944.000403/2009-48,3108305.0,Deferido,2009-07-22,STN,Sudeste
Borda da Mata,MG,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,2572882.0,17944.000489/2010-42,3108305.0,Deferido,2010-11-04,STN,Sudeste
Borrazópolis,PR,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Paraná S/A,Real,560000.0,17944.000089/2012-07,4103305.0,Deferido,2012-06-18,STN,Sul
Borrazópolis,PR,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Empresa Estatal,Companhia Paranaense de Energia,Real,449364.2,17944.000627/2007-98,4103305.0,Regularizado,2012-03-28,STN,Sul
Borrazópolis,PR,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Paraná S/A,Real,1100000.0,17944.000655/2013-53,4103305.0,Deferido,2013-08-05,STN,Sul
Borrazópolis,PR,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Paraná S/A,Real,600000.0,19406.000202/2002-97,4103305.0,Deferido,2002-09-25,STN,Sul
Borrazópolis,PR,Município,Operação Contratual Interna,PMAT,Instituição Financeira Nacional,Banco do Brasil S/A,Real,162400.0,19406.000323/2004-09,4103305.0,Deferido,2004-07-02,STN,Sul
Borrazópolis,PR,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco do Brasil S/A,Real,514000.0,19406.000577/2008-42,4103305.0,Deferido,2008-07-09,STN,Sul
Borrazópolis,PR,Município,Operação Contratual Interna,Caminho da Escola 4,Instituição Financeira Nacional,Banco Regional de Desenvolvimento do Extremo Sul,Real,150000.0,19406.000617/2008-56,4103305.0,Deferido,2008-07-04,STN,Sul
Borrazópolis,PR,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Empresa Estatal,Companhia Paranaense de Energia,Real,205603.98,19406.000654/2008-64,4103305.0,Regularizado,2008-07-04,STN,Sul
Borrazópolis,PR,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Paraná S/A,Real,1200000.0,17944.000739/2015-59,4103305.0,Deferido,2015-09-14,STN,Sul
Bossoroca,RS,Município,Operação Contratual Interna,Caminho da Escola,Instituição Financeira Nacional,Banco do Brasil S/A,Real,400000.0,17944.000078/2008-32,4302501.0,Deferido,2008-01-25,STN,Sul
Bossoroca,RS,Município,Operação Contratual Interna,PMAT,Instituição Financeira Nacional,Banco do Brasil S/A,Real,139600.0,19406.000125/2003-56,4302501.0,Deferido,2003-08-27,STN,Sul
Bossoroca,RS,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco do Estado do Rio Grande do Sul,Real,1000000.0,19406.000176/2009-73,4302501.0,Deferido,2009-09-10,STN,Sul
Bossoroca,RS,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,BADESUL Desenvolvimento S.A. - Agência de Fomento/RS,Real,240000.0,19406.000403/2007-07,4302501.0,Deferido,2007-12-10,STN,Sul
Botucatu,SP,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de São Paulo,Real,2009800.77,17944.000180/2014-86,3507506.0,Deferido,2014-12-26,STN,Sudeste
Botucatu,SP,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de São Paulo,Real,4359398.27,17944.000182/2014-75,3507506.0,Deferido,2014-12-26,STN,Sudeste
Botucatu,SP,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de São Paulo,Real,8607540.0,17944.000185/2014-17,3507506.0,Deferido,2014-12-26,STN,Sudeste
Botucatu,SP,Município,Operação Contratual Interna,Saneamento para Todos,Instituição Financeira Nacional,Caixa Econômica Federal,Real,42750000.0,17944.110143/2018-17,3507506.0,Deferido,2018-12-28,STN,Sudeste
Botucatu,SP,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,30000000.0,17944.104556/2021-50,3507506.0,Deferido,2022-06-20,STN,Sudeste
Botumirim,MG,Município,Operação Contratual Interna,"Aquisição de terrenos, imóveis e/ou construção de instalações",Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,250000.0,17944.000278/2016-03,3108503.0,Deferido,2016-03-18,STN,Sudeste
Botuporã,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,500000.0,17944.001540/2006-57,2904209.0,Deferido,2006-09-28,STN,Nordeste
Botuverá,SC,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco do Brasil S/A,Real,400000.0,17944.000775/2013-51,4202701.0,Deferido,2013-08-20,STN,Sul
Botuverá,SC,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,300000.0,19406.000030/2004-13,4202701.0,Deferido,2004-02-26,STN,Sul
Botuverá,SC,Município,Operação Contratual Interna,Multissetorial,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,625900.74,19406.000472/2007-11,4202701.0,Deferido,2007-12-19,STN,Sul
Botuverá,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,600000.0,17944.000635/2015-44,4202701.0,Deferido,2015-12-29,STN,Sul
Botuverá,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,5400000.0,17944.102020/2019-85,4202701.0,Deferido,2019-06-11,STN,Sul
Bozano,RS,Município,Operação Contratual Interna,"Aquisição de terrenos, imóveis e/ou construção de instalações",Instituição Financeira Nacional,BADESUL Desenvolvimento S.A. - Agência de Fomento/RS,Real,350000.0,17944.000083/2011-41,4302584.0,Deferido,2011-01-28,STN,Sul
Bozano,RS,Município,Operação Contratual Interna,Provias 2009,Instituição Financeira Nacional,BADESUL Desenvolvimento S.A. - Agência de Fomento/RS,Real,550000.0,19406.000194/2009-55,4302584.0,Deferido,2009-08-21,STN,Sul
Braço do Norte,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,4500000.0,17944.000668/2011-61,4202800.0,Deferido,2011-07-13,STN,Sul
Braço do Norte,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,600000.0,19406.000058/2004-51,4202800.0,Deferido,2004-03-15,STN,Sul
Braço do Norte,SC,Município,Operação Contratual Interna,PMAT,Instituição Financeira Nacional,Banco do Brasil S/A,Real,220000.0,19406.000130/2004-40,4202800.0,Deferido,2004-05-13,STN,Sul
Braço do Norte,SC,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco do Brasil S/A,Real,900000.0,19406.000233/2009-14,4202800.0,Deferido,2009-11-11,STN,Sul
Braço do Norte,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,80000.0,19406.000261/2003-46,4202800.0,Deferido,2004-02-04,STN,Sul
Braço do Norte,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,970000.0,19406.000471/2007-68,4202800.0,Deferido,2007-12-18,STN,Sul
Braço do Norte,SC,Município,Operação Contratual Interna,Caminho da Escola 4,Instituição Financeira Nacional,Banco do Brasil S/A,Real,450000.0,19406.000595/2008-24,4202800.0,Deferido,2008-07-16,STN,Sul
Braço do Norte,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,3500000.0,17944.000668/2015-94,4202800.0,Deferido,2015-09-08,STN,Sul
Braço do Norte,SC,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Banco Regional de Desenvolvimento do Extremo Sul,Real,15000000.0,17944.105405/2018-13,4202800.0,Deferido,2018-08-24,STN,Sul
Braço do Norte,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,8500000.0,17944.103734/2019-19,4202800.0,Deferido,2019-10-23,STN,Sul
Braço do Norte,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,8500000.0,17944.100268/2020-45,4202800.0,Deferido,2020-01-29,STN,Sul
Braço do Trombudo,SC,Município,Operação Contratual Interna,Provias 2010,Instituição Financeira Nacional,Caixa Econômica Federal,Real,820000.0,17944.000667/2011-16,4202859.0,Deferido,2011-12-02,STN,Sul
Braga,RS,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,BADESUL Desenvolvimento S.A. - Agência de Fomento/RS,Real,700000.0,17944.000430/2013-05,4302600.0,Deferido,2013-07-16,STN,Sul
Braga,RS,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Empresa Não Estatal,Rio Grande Energia S/A,Real,173997.67,17944.001667/2011-33,4302600.0,Regularizado,2013-04-09,STN,Sul
Braga,RS,Município,Operação Contratual Interna,Caminho da Escola 2009 A,Instituição Financeira Nacional,Banco do Brasil S/A,Real,274300.0,19406.000439/2009-44,4302600.0,Deferido,2009-11-20,STN,Sul
Braga,RS,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,BADESUL Desenvolvimento S.A. - Agência de Fomento/RS,Real,450000.0,19406.000707/2006-85,4302600.0,Deferido,2007-02-16,STN,Sul
Braga,RS,Município,Operação Contratual Interna,Renegociação de dívidas,Empresa Não Estatal,Rio Grande Energia S/A,Real,315733.81,19406.000820/2006-61,4302600.0,Deferido,2007-02-13,STN,Sul
Braga,RS,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,BADESUL Desenvolvimento S.A. - Agência de Fomento/RS,Real,659000.0,17944.001014/2015-88,4302600.0,Deferido,2016-01-07,STN,Sul
Bragança,PA,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Outras,Pessoa Jurídica,Real,299574.0,17944.001220/2007-88,1501709.0,Regularizado,2008-02-12,STN,Norte
Bragança Paulista,SP,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Banco do Brasil S/A,Real,4000000.0,17944.000246/2002-02,3507605.0,Deferido,2002-07-10,STN,Sudeste
Bragança Paulista,SP,Município,Operação Contratual Interna,PMAT,Instituição Financeira Nacional,Banco Nacional de Desenvolvimento Econômico e Social,Real,1800000.0,17944.000437/2002-66,3507605.0,Deferido,2002-06-12,STN,Sudeste
Bragança Paulista,SP,Município,Operação Contratual Interna,PMAT,Instituição Financeira Nacional,Caixa Econômica Federal,Real,9211523.0,17944.000546/2015-06,3507605.0,Deferido,2015-08-04,STN,Sudeste
Bragança Paulista,SP,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,7987122.0,17944.109375/2018-14,3507605.0,Deferido,2018-12-05,STN,Sudeste
Bragança Paulista,SP,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,28180852.25,17944.101699/2019-95,3507605.0,Deferido,2019-05-28,STN,Sudeste
Bragança Paulista,SP,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,20000000.0,17944.102677/2019-42,3507605.0,Deferido,2019-07-26,STN,Sudeste
Bragança Paulista,SP,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de São Paulo,Real,12000000.0,17944.106021/2023-85,3507605.0,Deferido,2023-12-29,STN,Sudeste
Bragança Paulista,SP,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de São Paulo,Real,14693000.0,17944.106017/2023-17,3507605.0,Deferido,2023-12-29,STN,Sudeste
Bragança Paulista,SP,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de São Paulo,Real,50689000.0,17944.106020/2023-31,3507605.0,Deferido,2023-12-29,STN,Sudeste
Braganey,PR,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Paraná S/A,Real,400000.0,19406.000166/2003-42,4103354.0,Deferido,2003-10-28,STN,Sul
Braganey,PR,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Paraná S/A,Real,450999.0,19406.000308/2010-09,4103354.0,Deferido,2010-07-13,STN,Sul
Braganey,PR,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Paraná S/A,Real,600000.0,19406.000322/2010-02,4103354.0,Deferido,2010-07-13,STN,Sul
Braganey,PR,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Paraná S/A,Real,1600000.0,17944.101766/2017-18,4103354.0,Deferido,2017-12-04,STN,Sul
Brás Pires,MG,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,200000.0,17944.000298/2010-81,3108701.0,Deferido,2010-05-07,STN,Sudeste
Brasilândia,MS,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco do Brasil S/A,Real,1200000.0,17944.000869/2013-20,5002308.0,Deferido,2013-12-05,STN,Centro-Oeste
Brasilândia,MS,Município,Operação Contratual Interna,Caminho da Escola,Instituição Financeira Nacional,Banco do Brasil S/A,Real,741980.0,17944.001684/2013-32,5002308.0,Deferido,2014-01-06,STN,Centro-Oeste
Brasilândia,MS,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,15000000.0,17944.103780/2022-13,5002308.0,Deferido,2022-09-22,STN,Centro-Oeste
Brasilândia,MS,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,15000000.0,17944.104578/2022-09,5002308.0,Deferido,2022-12-01,STN,Centro-Oeste
Brasilândia de Minas,MG,Município,Operação Contratual Interna,Provias 2010,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,1200000.0,17944.000897/2010-02,3108552.0,Deferido,2010-07-20,STN,Sudeste
Brasilândia do Sul,PR,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Paraná S/A,Real,600000.0,17944.001287/2013-61,4103370.0,Deferido,2013-11-04,STN,Sul
Brasilândia do Sul,PR,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Paraná S/A,Real,720000.0,17944.001888/2011-10,4103370.0,Deferido,2012-05-11,STN,Sul
Brasilândia do Sul,PR,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Paraná S/A,Real,1743000.0,17944.000552/2015-55,4103370.0,Deferido,2015-07-23,STN,Sul
Brasilândia do Sul,PR,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Paraná S/A,Real,1300000.0,17944.102641/2017-05,4103370.0,Deferido,2017-12-05,STN,Sul
Brasília de Minas,MG,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,4560000.0,17944.000060/2014-89,3108602.0,Deferido,2014-08-07,STN,Sudeste
Brasília de Minas,MG,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Empresa Não Estatal,Cemig Distribuição S/A,Real,1003624.2,17944.001669/2008-27,3108602.0,Regularizado,2011-01-07,STN,Sudeste
Brasília de Minas,MG,Município,Operação Contratual Interna,Regularização de Dívida - Água e Esgoto,Empresa Estatal,Companhia de Saneamento de Minas Gerais,Real,1022168.42,17944.001680/2008-97,3108602.0,Regularizado,2014-08-07,STN,Sudeste
Brasnorte,MT,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,11800000.0,17944.100996/2022-19,5101902.0,Deferido,2022-06-29,STN,Centro-Oeste
Braúnas,MG,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,300000.0,17944.000651/2010-22,3108800.0,Deferido,2010-10-14,STN,Sudeste
Brazópolis,MG,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco do Brasil S/A,Real,396000.0,17944.000210/2007-25,3108909.0,Deferido,2007-08-22,STN,Sudeste
Brazópolis,MG,Município,Operação Contratual Interna,Caminho da Escola 2,Instituição Financeira Nacional,Banco do Brasil S/A,Real,690800.0,17944.000704/2008-91,3108909.0,Deferido,2008-05-13,STN,Sudeste
Brazópolis,MG,Município,Operação Contratual Interna,Caminho da Escola,Instituição Financeira Nacional,Banco do Brasil S/A,Real,1083980.0,17944.001577/2013-12,3108909.0,Deferido,2014-01-13,STN,Sudeste
Brazópolis,MG,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,1000000.0,17944.001217/2015-74,3108909.0,Deferido,2016-04-29,STN,Sudeste
Brazópolis,MG,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,1000000.0,17944.102513/2017-53,3108909.0,Deferido,2017-12-08,STN,Sudeste
Brazópolis,MG,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,1000000.0,17944.102514/2017-06,3108909.0,Deferido,2017-12-08,STN,Sudeste
Brejo Alegre,SP,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco do Brasil S/A,Real,1050000.0,17944.001007/2012-33,3507753.0,Deferido,2012-08-31,STN,Sudeste
Brejo Santo,CE,Município,Operação Contratual Interna,Caminho da Escola 2009 A,Instituição Financeira Nacional,Banco do Brasil S/A,Real,747600.0,17944.000110/2010-02,2302503.0,Deferido,2010-05-13,STN,Nordeste
Brochier,RS,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,BADESUL Desenvolvimento S.A. - Agência de Fomento/RS,Real,700000.0,17944.001395/2014-14,4302659.0,Deferido,2014-09-19,STN,Sul
Brochier,RS,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,BADESUL Desenvolvimento S.A. - Agência de Fomento/RS,Real,250000.0,19406.000123/2005-29,4302659.0,Deferido,2005-12-12,STN,Sul
Brochier,RS,Município,Operação Contratual Interna,Caminho da Escola 2,Instituição Financeira Nacional,Banco do Brasil S/A,Real,172700.0,19406.000330/2008-26,4302659.0,Deferido,2008-04-11,STN,Sul
Brochier,RS,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco do Estado do Rio Grande do Sul,Real,400000.0,19406.000468/2006-63,4302659.0,Deferido,2006-12-05,STN,Sul
Brotas,SP,Município,Operação Contratual Interna,Saneamento básico,Instituição Financeira Nacional,Caixa Econômica Federal,Real,900000.0,17944.000523/2004-31,3507902.0,Deferido,2004-06-21,STN,Sudeste
Brotas,SP,Município,Operação Contratual Interna,PMAT,Instituição Financeira Nacional,Banco do Brasil S/A,Real,330000.0,17944.000692/2004-71,3507902.0,Deferido,2004-06-22,STN,Sudeste
Brotas de Macaúbas,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,2000000.0,17944.001824/2011-19,2904506.0,Deferido,2012-04-30,STN,Nordeste
Brotas de Macaúbas,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,1800000.0,17944.000834/2016-33,2904506.0,Deferido,2016-07-25,STN,Nordeste
Brumadinho,MG,Município,Operação Contratual Interna,Provias 2010,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,1250000.0,17944.001299/2010-42,3109006.0,Deferido,2011-08-09,STN,Sudeste
Brumadinho,MG,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,6518755.0,17944.001545/2013-17,3109006.0,Deferido,2014-05-15,STN,Sudeste
Brumadinho,MG,Município,Operação Contratual Interna,PAC - Saneamento - 2008 B,Instituição Financeira Nacional,Caixa Econômica Federal,Real,6626812.0,17944.002148/2008-97,3109006.0,Deferido,2009-04-29,STN,Sudeste
Brumadinho,MG,Município,Operação Contratual Interna,Saneamento básico,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,2000000.0,17944.000416/2017-27,3109006.0,Deferido,2017-07-19,STN,Sudeste
Brumadinho,MG,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,10000000.0,17944.000543/2017-26,3109006.0,Deferido,2017-07-24,STN,Sudeste
Brumadinho,MG,Município,Operação Contratual Interna,"Aquisição de terrenos, imóveis e/ou construção de instalações",Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,1000000.0,17944.000544/2017-71,3109006.0,Deferido,2017-07-24,STN,Sudeste
Brumadinho,MG,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,2000000.0,17944.000547/2017-12,3109006.0,Deferido,2017-07-19,STN,Sudeste
Brumado,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,20000000.0,17944.110166/2018-13,2904605.0,Deferido,2019-01-30,STN,Nordeste
Brumado,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,23000000.0,17944.104204/2021-02,2904605.0,Deferido,2021-12-23,STN,Nordeste
Brumado,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,30000000.0,17944.102629/2023-31,2904605.0,Deferido,2023-08-17,STN,Nordeste
Brunópolis,SC,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,90000.0,19406.000343/2002-18,4202875.0,Deferido,2002-12-18,STN,Sul
Brunópolis,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,200000.0,19406.000345/2006-22,4202875.0,Deferido,2006-10-17,STN,Sul
Brusque,SC,Município,Operação Contratual Interna,Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,34447904.78,17944.000146/2014-10,4202909.0,Deferido,2014-05-19,STN,Sul
Brusque,SC,Município,Operação Contratual Interna,Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,13052095.22,17944.000148/2014-09,4202909.0,Deferido,2014-05-19,STN,Sul
Brusque,SC,Município,Operação Contratual Interna,Regularização de Dívida - Outros,Instituição Financeira Nacional,Banco Nacional de Desenvolvimento Econômico e Social,Real,34718992.52,17944.000338/2012-56,4202909.0,Regularizado,2012-05-24,STN,Sul
Brusque,SC,Município,Operação Contratual Interna,PMAT,Instituição Financeira Nacional,Caixa Econômica Federal,Real,5908930.0,17944.001052/2014-50,4202909.0,Deferido,2014-08-25,STN,Sul
Brusque,SC,Município,Operação Contratual Interna,PAC - Saneamento - 2009 A,Instituição Financeira Nacional,Caixa Econômica Federal,Real,33601500.0,19406.000008/2010-11,4202909.0,Deferido,2010-11-30,STN,Sul
Brusque,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco Nacional de Desenvolvimento Econômico e Social,Real,20000000.0,19406.000013/2003-03,4202909.0,Deferido,2003-03-20,STN,Sul
Brusque,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,519397.61,19406.000051/2005-10,4202909.0,Deferido,2005-12-29,STN,Sul
Brusque,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,1480602.39,19406.000052/2005-64,4202909.0,Deferido,2005-12-29,STN,Sul
Brusque,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,2957000.0,19406.000061/2003-93,4202909.0,Deferido,2003-06-26,STN,Sul
Brusque,SC,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco Regional de Desenvolvimento do Extremo Sul,Real,3000000.0,19406.000392/2010-52,4202909.0,Deferido,2010-11-30,STN,Sul
